age,gender,residence,competative_exams,access_to_internet,study_hours_per_day,has_scholarship,extracurricular_activities,fam_fin_status,health,location,f_edu,m_edu,f_job,m_job,alcoholic,additional_tuition,fam_size,fam_relation,prev_percent_1,prev_percent_2,prev_percent_3,TARGET_PREDICTION_PERCENT
21,M,H,1.0,1.0,2.0,0,1,3,5,U,5,4,1,1,0,0,3,5,64,87.0,84.0,78.0
20,F,H,1.0,0.0,3.0,1,0,1,1,U,2,1,0,0,1,1,5,3,79.01,79.82,82.93,81.94
27,F,D,0.0,1.0,8.0,0,1,2,5,U,5,3,1,1,4,0,4,1,70,61.0,54.0,62.0
20,M,H,1.0,1.0,6.0,0,1,1,5,U,5,1,1,0,1,0,4,5,83,92.0,69.0,81.0
21,F,D,1.0,1.0,2.0,0,1,3,4,U,3,2,1,0,0,0,2,5,71,87.0,71.0,83.0
18,M,H,1.0,1.0,6.0,1,1,3,4,U,3,1,0,0,1,0,6,5,71,85.0,89.0,91.0
22,F,D,0.0,1.0,2.0,0,0,4,5,U,4,4,1,0,1,0,4,4,75,76.0,74.0,77.0
23,F,H,1.0,1.0,1.0,0,1,3,3,U,3,5,0,0,0,0,5,5,41,71.0,49.0,88.0
21,M,D,1.0,0.0,6.0,1,1,3,3,R,3,3,0,1,2,1,5,5,88,87.0,78.0,83.0
16,M,D,1.0,1.0,4.0,0,0,3,5,U,1,3,1,0,1,1,4,4,82,84.0,90.0,85.0
19,M,H,0.0,1.0,2.0,0,0,3,1,R,2,3,1,0,1,1,4,4,91,82.0,79.0,84.0
20,M,H,0.0,1.0,4.0,0,1,3,4,R,4,3,0,0,1,0,4,4,78,79.0,88.0,76.0
19,F,D,1.0,1.0,5.0,0,0,1,3,U,2,4,0,0,1,0,10,3,72,83.0,72.0,75.0
20,M,D,1.0,1.0,2.0,0,0,4,4,U,4,4,1,1,1,0,5,5,68,69.0,79.0,76.0
18,M,H,0.0,1.0,2.0,0,1,3,3,U,4,4,1,0,0,0,3,4,82,82.0,67.0,80.0
26,F,H,1.0,1.0,4.0,1,0,5,5,R,2,1,1,0,1,1,5,4,79,82.0,75.0,97.0
34,F,D,1.0,0.0,7.0,1,1,1,3,R,2,1,1,1,0,1,3,4,82,73.0,86.0,80.0
20,F,D,0.0,0.0,4.0,0,0,4,3,U,4,3,1,0,1,0,4,2,90,91.0,80.0,85.0
25,M,H,1.0,1.0,4.0,0,1,3,3,U,4,3,1,0,1,0,5,3,81,72.0,60.0,71.0
21,M,D,1.0,0.0,2.0,1,1,4,2,R,4,4,1,0,0,1,4,1,67.38,70.52,74.75,75.65
20,M,H,1.0,1.0,4.0,0,1,4,5,R,4,4,1,0,1,0,5,5,89,89.0,85.0,91.0
21,F,D,0.0,1.0,2.0,0,1,2,3,R,1,2,1,0,0,1,3,3,69,85.0,90.0,83.0
23,M,D,0.0,1.0,5.0,0,1,3,5,R,4,4,1,0,1,0,7,5,100,77.0,75.0,84.0
20,F,D,1.0,1.0,2.0,0,1,3,4,U,5,4,1,0,1,0,4,3,80,79.0,85.0,76.0
20,M,H,1.0,1.0,5.0,1,0,5,4,R,3,3,1,0,0,1,5,5,89.9,88.0,96.0,92.0
20,F,H,0.0,1.0,5.0,0,1,3,3,R,1,1,0,0,1,0,4,4,79,75.0,80.0,79.0
15,F,D,0.0,1.0,2.0,0,1,5,1,U,4,3,1,1,1,0,5,4,98,65.0,96.0,93.0
20,M,H,0.0,0.0,3.0,0,0,3,5,R,1,3,0,0,3,1,3,4,75,84.0,84.0,76.0
22,F,H,0.0,1.0,6.0,0,1,3,4,R,4,2,1,1,0,1,9,5,73,64.0,84.0,51.0
18,F,H,0.0,1.0,3.0,0,1,5,4,U,5,5,1,0,1,1,5,5,98,96.0,83.0,92.0
21,M,H,0.0,1.0,5.0,0,1,3,4,R,4,2,1,0,0,0,4,4,64.8,66.0,75.0,72.0
